byte_hex,status,urdu_kashmiri_best_fit,sindhi_best_fit,lossless_vpua_1,raw_vpua_1,provenance
B3,assigned,06BA,06BA,F8CB3,F8DB3,cdac_cell_unicode17_name_glyph
B4,assigned,06BB,06BB,F8CB4,F8DB4,cdac_cell_unicode17_name_glyph
B5,assigned,0648,0648,F8CB5,F8DB5,cdac_cell_unicode17_name_glyph
B6,assigned,06C4,06C4,F8CB6,F8DB6,cdac_cell_unicode17_name_glyph
B7,assigned,0647,0647,F8CB7,F8DB7,cdac_cell_unicode17_name_glyph
B8,assigned,06BE,06BE,F8CB8,F8DB8,cdac_cell_unicode17_name_glyph
B9,assigned,0621,0621,F8CB9,F8DB9,cdac_cell_unicode17_name_glyph
BA,assigned,06CC,064A,F8CBA,F8DBA,cdac_language_split_unicode17
BB,assigned,0620,0620,F8CBB,F8DBB,cdac_cell_unicode17_name_glyph
BC,assigned,06D3,06D3,F8CBC,F8DBC,cdac_cell_unicode17_name_glyph
BD,assigned,06D2,06D2,F8CBD,F8DBD,cdac_cell_unicode17_name_glyph
BE,assigned,064E,064E,F8CBE,F8DBE,cdac_cell_unicode17_name_glyph
BF,assigned,0650,0650,F8CBF,F8DBF,cdac_cell_unicode17_name_glyph
C0,assigned,064F,064F,F8CC0,F8DC0,cdac_cell_unicode17_name_glyph
C1,assigned,0657,0657,F8CC1,F8DC1,cdac_cell_unicode17_name_glyph
C2,assigned,0654,0654,F8CC2,F8DC2,cdac_cell_unicode17_name_glyph
C3,assigned,0655,0655,F8CC3,F8DC3,cdac_cell_unicode17_name_glyph
C4,assigned,F8CC4,F8CC4,F8CC4,F8DC4,cdac_cell_iconvex_vpua
C5,assigned,065F,065F,F8CC5,F8DC5,cdac_cell_unicode17_name_glyph
C6,assigned,0651,0651,F8CC6,F8DC6,cdac_cell_unicode17_name_glyph
C7,assigned,0653,0653,F8CC7,F8DC7,cdac_cell_unicode17_name_glyph
C8,assigned,06E1,06E1,F8CC8,F8DC8,cdac_cell_unicode17_name_glyph
C9,assigned,0670,0670,F8CC9,F8DC9,cdac_cell_unicode17_name_glyph
