canonical,aliases,unit_bits,standard_order,module,packed_names
BCD-CDC-IOWA,BCD-CDC-IOWA-RECONSTRUCTED,12,msb,Iconvex.Specs.BCDCDCIowa,BCD-CDC-IOWA-PACKED-MSB|BCD-CDC-IOWA-PACKED-LSB
IBM-029-CARD-IOWA-824E61A9,IBM-029-PUNCHED-CARD-IOWA-824E61A9,12,msb,Iconvex.Specs.IBM029CardIowa824E61A9,IBM-029-CARD-IOWA-824E61A9-PACKED-MSB|IBM-029-CARD-IOWA-824E61A9-PACKED-LSB
DEC-026-CARD-IOWA-824E61A9,DEC-026-PUNCHED-CARD-IOWA-824E61A9,12,msb,Iconvex.Specs.DEC026CardIowa824E61A9,DEC-026-CARD-IOWA-824E61A9-PACKED-MSB|DEC-026-CARD-IOWA-824E61A9-PACKED-LSB
DEC-029-CARD-IOWA-824E61A9,DEC-029-PUNCHED-CARD-IOWA-824E61A9,12,msb,Iconvex.Specs.DEC029CardIowa824E61A9,DEC-029-CARD-IOWA-824E61A9-PACKED-MSB|DEC-029-CARD-IOWA-824E61A9-PACKED-LSB
EBCD-CARD-IOWA-824E61A9,EBCD-PUNCHED-CARD-IOWA-824E61A9,12,msb,Iconvex.Specs.EBCDCardIowa824E61A9,EBCD-CARD-IOWA-824E61A9-PACKED-MSB|EBCD-CARD-IOWA-824E61A9-PACKED-LSB
GE-600-CARD-IOWA-824E61A9,GE-600-PUNCHED-CARD-IOWA-824E61A9,12,msb,Iconvex.Specs.GE600CardIowa824E61A9,GE-600-CARD-IOWA-824E61A9-PACKED-MSB|GE-600-CARD-IOWA-824E61A9-PACKED-LSB
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-A,BCD-A|IBM 026 Commercial card code|IBM-026-COMMERCIAL-CARD-CODE|IBM-24-26-ARRANGEMENT-A,12,msb,Iconvex.Specs.IBM2426ArrangementA,IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-A-PACKED-MSB|IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-A-PACKED-LSB
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-B,IBM-24-26-ARRANGEMENT-B,12,msb,Iconvex.Specs.IBM2426ArrangementB,IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-B-PACKED-MSB|IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-B-PACKED-LSB
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-C,IBM-24-26-ARRANGEMENT-C,12,msb,Iconvex.Specs.IBM2426ArrangementC,IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-C-PACKED-MSB|IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-C-PACKED-LSB
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-D,IBM-24-26-ARRANGEMENT-D,12,msb,Iconvex.Specs.IBM2426ArrangementD,IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-D-PACKED-MSB|IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-D-PACKED-LSB
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-E,IBM-24-26-ARRANGEMENT-E,12,msb,Iconvex.Specs.IBM2426ArrangementE,IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-E-PACKED-MSB|IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-E-PACKED-LSB
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-F,IBM-24-26-ARRANGEMENT-F,12,msb,Iconvex.Specs.IBM2426ArrangementF,IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-F-PACKED-MSB|IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-F-PACKED-LSB
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-G,IBM-24-26-ARRANGEMENT-G,12,msb,Iconvex.Specs.IBM2426ArrangementG,IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-G-PACKED-MSB|IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-G-PACKED-LSB
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-H,BCD-H|IBM 026 FORTRAN card code|IBM-026-FORTRAN-CARD-CODE|IBM-24-26-ARRANGEMENT-H,12,msb,Iconvex.Specs.IBM2426ArrangementH,IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-H-PACKED-MSB|IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-H-PACKED-LSB
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-J,IBM-24-26-ARRANGEMENT-J,12,msb,Iconvex.Specs.IBM2426ArrangementJ,IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-J-PACKED-MSB|IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-J-PACKED-LSB
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-K,IBM-24-26-ARRANGEMENT-K,12,msb,Iconvex.Specs.IBM2426ArrangementK,IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-K-PACKED-MSB|IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-K-PACKED-LSB
