catalog_id,name,aliases,kinds,confidence,gnu_libiconv_1_19,iconvex,coverage_status,implementation_disposition,wikipedia_source_ids,wikipedia_urls,all_source_ids,all_source_urls,statuses
ENC-1320,Punycode,Bootstring Punycode | RFC-3492 | RFC3492,unicode_ascii_transform | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 380586,https://en.wikipedia.org/wiki/Punycode,wikipedia:pageid 380586 | supplement:Punycode,https://en.wikipedia.org/wiki/Punycode | https://www.rfc-editor.org/rfc/rfc3492.html,standards_track_rfc
ENC-1332,RISC OS character set,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 53256679,https://en.wikipedia.org/wiki/RISC_OS_character_set,wikipedia:pageid 53256679,https://en.wikipedia.org/wiki/RISC_OS_character_set,
ENC-1336,RPL character set,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,no,remaining,codec_gap,wikipedia:pageid 51221648,https://en.wikipedia.org/wiki/RPL_character_set,wikidata:Q28453805 | wikipedia:pageid 51221648,https://www.wikidata.org/wiki/Q28453805 | https://en.wikipedia.org/wiki/RPL_character_set,
ENC-1337,SAM Coupé character set,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 73665458,https://en.wikipedia.org/wiki/SAM_Coup%C3%A9_character_set,wikipedia:pageid 73665458,https://en.wikipedia.org/wiki/SAM_Coup%C3%A9_character_set,
ENC-1341,Sanyo PHC-25,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 26340704,https://en.wikipedia.org/wiki/Sanyo_PHC-25,wikipedia:pageid 26340704,https://en.wikipedia.org/wiki/Sanyo_PHC-25,
ENC-1342,SCSU,csSCSU | ibm-1212 | ibm-1213 | Standard Compression Scheme for Unicode,iana_registered_charset | icu_converter | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 653715,https://en.wikipedia.org/wiki/Standard_Compression_Scheme_for_Unicode,iana:MIBenum 1011 | icu:SCSU | wikipedia:pageid 653715,https://www.iana.org/assignments/character-sets/character-sets.xhtml | https://raw.githubusercontent.com/unicode-org/icu/main/icu4c/source/data/mappings/convrtrs.txt | https://en.wikipedia.org/wiki/Standard_Compression_Scheme_for_Unicode,
ENC-1343,SCSU (Unicode),SCSU,wikipedia_character_set_page,candidate,no,yes,implemented,implemented,wikipedia:pageid 50625262,https://en.wikipedia.org/wiki/SCSU_%28Unicode%29,wikipedia:pageid 50625262,https://en.wikipedia.org/wiki/SCSU_%28Unicode%29,
ENC-1344,SEASCII,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 53417122,https://en.wikipedia.org/wiki/SEASCII,wikipedia:pageid 53417122,https://en.wikipedia.org/wiki/SEASCII,
ENC-1346,Sega SC-3000 character set,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,no,remaining,codec_gap,wikipedia:pageid 59787448,https://en.wikipedia.org/wiki/Sega_SC-3000_character_set,wikidata:Q65117806 | wikipedia:pageid 59787448,https://www.wikidata.org/wiki/Q65117806 | https://en.wikipedia.org/wiki/Sega_SC-3000_character_set,
ENC-1347,Semigraphics,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 33078541,https://en.wikipedia.org/wiki/Semigraphics,wikipedia:pageid 33078541,https://en.wikipedia.org/wiki/Semigraphics,
ENC-1353,Sharp MZ character set,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 59216433,https://en.wikipedia.org/wiki/Sharp_MZ_character_set,wikipedia:pageid 59216433,https://en.wikipedia.org/wiki/Sharp_MZ_character_set,
ENC-1354,Sharp pocket computer character sets,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 53299882,https://en.wikipedia.org/wiki/Sharp_pocket_computer_character_sets,wikipedia:pageid 53299882,https://en.wikipedia.org/wiki/Sharp_pocket_computer_character_sets,
ENC-1357,SHORT-KOI,KOI-7 | KOI7,national_replacement_set | wikidata_characterencoding | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 1618676,https://en.wikipedia.org/wiki/KOI-7,kermit:SHORT-KOI | wikidata:Q441844 | wikipedia:pageid 1618676,https://www.kermitproject.org/k95charsets.html | https://www.wikidata.org/wiki/Q441844 | https://en.wikipedia.org/wiki/KOI-7,legacy_implementation
ENC-1361,Sinclair QL character set,,wikipedia_character_set_page,candidate,no,yes,implemented,implemented,wikipedia:pageid 58618477,https://en.wikipedia.org/wiki/Sinclair_QL_character_set,wikipedia:pageid 58618477,https://en.wikipedia.org/wiki/Sinclair_QL_character_set,
ENC-1362,Sinhala input methods,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 34925840,https://en.wikipedia.org/wiki/Sinhala_input_methods,wikipedia:pageid 34925840,https://en.wikipedia.org/wiki/Sinhala_input_methods,
ENC-1365,SLOSCII,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 50735775,https://en.wikipedia.org/wiki/SLOSCII,wikipedia:pageid 50735775,https://en.wikipedia.org/wiki/SLOSCII,
ENC-1372,SRPSCII,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 50735774,https://en.wikipedia.org/wiki/SRPSCII,wikipedia:pageid 50735774,https://en.wikipedia.org/wiki/SRPSCII,
ENC-1373,Stanford Extended ASCII,RFC698-SU-AI-STANFORD-1975-FORMAT-EFFECTOR | RFC698-SU-AI-STANFORD-1975-HIDDEN-GRAPHICS | STANFORD-EXTENDED-ASCII-RFC698-FORMAT-EFFECTOR | STANFORD-EXTENDED-ASCII-RFC698-HIDDEN-GRAPHICS,source_qualified_seven_bit_graphic_profiles | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 53257205,https://en.wikipedia.org/wiki/Stanford_Extended_ASCII,wikipedia:pageid 53257205 | supplement:Stanford Extended ASCII,https://en.wikipedia.org/wiki/Stanford_Extended_ASCII | https://www.rfc-editor.org/rfc/rfc698.txt,standards_track_rfc_exact_mapping_profiles
ENC-1391,T.50 (standard),,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 1009486,https://en.wikipedia.org/wiki/T.50_%28standard%29,wikipedia:pageid 1009486,https://en.wikipedia.org/wiki/T.50_%28standard%29,
ENC-1394,Tamil All Character Encoding,TACE16 | TACE16-APPENDIX-D-2010-BE | TACE16-APPENDIX-D-2010-LE | TAMILVU-TACE16-APPENDIX-D-2010-16BE | TAMILVU-TACE16-APPENDIX-D-2010-16LE,source_qualified_sixteen_bit_sequence_encoding | wikidata_characterencoding | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 41675931 | wikipedia:pageid 41675869,https://en.wikipedia.org/wiki/TACE16 | https://en.wikipedia.org/wiki/Tamil_All_Character_Encoding,wikidata:Q15631296 | wikipedia:pageid 41675931 | wikipedia:pageid 41675869 | supplement:Tamil All Character Encoding,https://www.wikidata.org/wiki/Q15631296 | https://en.wikipedia.org/wiki/TACE16 | https://en.wikipedia.org/wiki/Tamil_All_Character_Encoding | https://www.tamilvu.org/coresite/download/final_report.pdf,primary_government_report_exact_mapping_explicit_endian_transports
ENC-1395,Tamil Script Code for Information Interchange,TSCII | TSCII-1.7,legacy_tamil_encoding | wikidata_characterencoding | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 794086,https://en.wikipedia.org/wiki/Tamil_Script_Code_for_Information_Interchange,wikidata:Q1414579 | wikipedia:pageid 794086 | supplement:Tamil Script Code for Information Interchange,https://www.wikidata.org/wiki/Q1414579 | https://en.wikipedia.org/wiki/Tamil_Script_Code_for_Information_Interchange | https://sourceware.org/git/?p=glibc.git;a=blob;f=localedata/charmaps/TSCII,upstream_charmap
ENC-1405,Teletext character set,,wikipedia_character_set_page,candidate,no,no,remaining,encoding_family,wikipedia:pageid 58602386,https://en.wikipedia.org/wiki/Teletext_character_set,wikipedia:pageid 58602386,https://en.wikipedia.org/wiki/Teletext_character_set,
ENC-1408,Thomson EF9345,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 67921294,https://en.wikipedia.org/wiki/Thomson_EF9345,wikipedia:pageid 67921294,https://en.wikipedia.org/wiki/Thomson_EF9345,
ENC-1409,TI calculator character sets,,wikidata_codedcharacterset | wikipedia_character_set_page,medium,no,no,remaining,encoding_family,wikipedia:pageid 23235262,https://en.wikipedia.org/wiki/TI_calculator_character_sets,wikidata:Q17082293 | wikipedia:pageid 23235262,https://www.wikidata.org/wiki/Q17082293 | https://en.wikipedia.org/wiki/TI_calculator_character_sets,
ENC-1417,TRON (encoding),TRON,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 1889610,https://en.wikipedia.org/wiki/TRON_%28encoding%29,wikipedia:pageid 1889610,https://en.wikipedia.org/wiki/TRON_%28encoding%29,
ENC-1418,TRS-80 character set,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 54679235,https://en.wikipedia.org/wiki/TRS-80_character_set,wikidata:Q39088123 | wikipedia:pageid 54679235,https://www.wikidata.org/wiki/Q39088123 | https://en.wikipedia.org/wiki/TRS-80_character_set,
ENC-1435,Unified Hangul Code,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 2997032,https://en.wikipedia.org/wiki/Unified_Hangul_Code,wikipedia:pageid 2997032,https://en.wikipedia.org/wiki/Unified_Hangul_Code,
ENC-1445,Universal Coded Character Set,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 23431060,https://en.wikipedia.org/wiki/Universal_Coded_Character_Set,wikipedia:pageid 23431060,https://en.wikipedia.org/wiki/Universal_Coded_Character_Set,
ENC-1453,UTF-1,,wikidata_unicodetransformationformat | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 2535122,https://en.wikipedia.org/wiki/UTF-1,wikidata:Q7875999 | wikipedia:pageid 2535122,https://www.wikidata.org/wiki/Q7875999 | https://en.wikipedia.org/wiki/UTF-1,
ENC-1465,UTF-5,DRAFT-JSENG-UTF5-01 | UTF5,unicode_alphanumeric_transform | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 50618129,https://en.wikipedia.org/wiki/UTF-5,wikipedia:pageid 50618129 | supplement:UTF-5,https://en.wikipedia.org/wiki/UTF-5 | https://www.ietf.org/archive/id/draft-jseng-utf5-01.txt,internet_draft_exact_algorithm
ENC-1466,UTF-6,DRAFT-IETF-IDN-UTF6-00 | UTF6,unicode_ascii_compatible_hostname_transform | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 50618133,https://en.wikipedia.org/wiki/UTF-6,wikipedia:pageid 50618133 | supplement:UTF-6,https://en.wikipedia.org/wiki/UTF-6 | https://www.ietf.org/archive/id/draft-ietf-idn-utf6-00.txt,internet_draft_exact_algorithm
ENC-1478,UTF-EBCDIC,,wikidata_unicodeencoding | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 1328586,https://en.wikipedia.org/wiki/UTF-EBCDIC,wikidata:Q718092 | wikipedia:pageid 1328586,https://www.wikidata.org/wiki/Q718092 | https://en.wikipedia.org/wiki/UTF-EBCDIC,
ENC-1486,Ventura-International,csVenturaInternational | Ventura International,iana_registered_charset | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 54313265,https://en.wikipedia.org/wiki/Ventura_International,iana:MIBenum 2007 | wikipedia:pageid 54313265,https://www.iana.org/assignments/character-sets/character-sets.xhtml | https://en.wikipedia.org/wiki/Ventura_International,
ENC-1489,Videotex character set,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,no,remaining,encoding_family,wikipedia:pageid 59888016,https://en.wikipedia.org/wiki/Videotex_character_set,wikidata:Q61757001 | wikipedia:pageid 59888016,https://www.wikidata.org/wiki/Q61757001 | https://en.wikipedia.org/wiki/Videotex_character_set,
